"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","choices","target","block","task","accuracy"
"pavlovia","0","5","0.0-0.0","","","","","","","","","","",""
"fullscreen","1","1959","0.0-1.0","","true","","","","","","","","",""
"audio-button-response","2","2600","0.0-2.0","","","536.9949999985693","audio/instructions_practice.mp3","0","","","","","",""
"audio-keyboard-response","3","6069","0.0-3.0","","","null","audio/instructions_waitpicture.mp3","","null","","","","",""
"html-button-response","4","7382","0.0-4.0-0.0","","","1207.5299999996787","","0","","","","","",""
"audio-button-response","5","9487","0.0-4.0-1.0-0.0","","","null","audio/ballrecording1.mp3","null","","","","","",""
"audio-button-response","6","12196","0.0-4.0-1.0-1.0","","","2607.1549999978743","audio/ballrecording2.mp3","1","","pol_images/rose.jpg,pol_images/ball.jpg,pol_images/pumpkin.jpg,pol_images/parrot.jpg","pol_images/ball.jpg","intro","polysemy","true"
"audio-keyboard-response","7","15303","0.0-4.0-2.0","","","null","audio/answer-correct.mp3","","null","","","","",""
"html-button-response","8","16179","0.0-4.0-0.1","","","770.8650000022317","","0","","","","","",""
"audio-button-response","9","18282","0.0-4.0-1.1-0.1","","","1945.304999997461","audio/flowerrecording1.mp3","3","","","","","",""
"audio-button-response","10","20352","0.0-4.0-1.1-1.1","","","1968.8699999969685","audio/flowerrecording2.mp3","0","","pol_images/flower.jpg,pol_images/toy.jpg,pol_images/pizza.jpg,pol_images/starfish.jpg","pol_images/flower.jpg","intro","polysemy","true"
