"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","key_press","button_pressed","choices","target","block","task","accuracy","video","condition","responses"
"pavlovia","0","5","0.0-0.0","","","","","","","","","","","","","",""
"fullscreen","1","1646","0.0-1.0","","true","","","","","","","","","","","",""
"audio-keyboard-response","2","4909","0.0-2.0","","","null","audio/instructions_practice.mp3","null","","","","","","","","",""
"html-button-response","3","5532","0.0-3.0","","","521","","","0","","","","","","","",""
"audio-keyboard-response","4","8911","0.0-4.0","","","null","audio/instructions_waitpicture.mp3","null","","","","","","","","",""
"html-button-response","5","9515","0.0-5.0-0.0","","","503","","","0","","","","","","","",""
"audio-button-response","6","11619","0.0-5.0-1.0-0.0","","","1751","audio/mouthrecording1.mp3","","1","","","","","","","",""
"audio-button-response","7","12556","0.0-5.0-1.0-1.0","","","834.9999999999982","audio/mouthrecording2.mp3","","3","pol_images/nose.jpg,pol_images/eye.jpg,pol_images/ear.jpg,pol_images/mouth.jpg","pol_images/mouth.jpg","intro","polysemy","true","","",""
"audio-keyboard-response","8","15658","0.0-5.0-2.0","","","null","audio/answer-correct.mp3","null","","","","","","","","",""
"html-button-response","9","16175","0.0-5.0-0.1","","","415","","","0","","","","","","","",""
"audio-button-response","10","18279","0.0-5.0-1.1-0.1","","","1740","audio/busrecording1.mp3","","1","","","","","","","",""
"audio-button-response","11","18736","0.0-5.0-1.1-1.1","","","354","audio/busrecording2.mp3","","1","pol_images/bus.jpg,pol_images/broom.jpg,pol_images/elephant.jpg,pol_images/kite.jpg","pol_images/bus.jpg","intro","polysemy","false","","",""
"audio-keyboard-response","12","21837","0.0-5.0-2.1","","","null","audio/answer-error.mp3","null","","","","","","","","",""
"html-button-response","13","22464","0.0-5.0-0.2","","","526","","","0","","","","","","","",""
"audio-button-response","14","24566","0.0-5.0-1.2-0.2","","","null","audio/duckrecording1.mp3","","null","","","","","","","",""
"audio-button-response","15","25780","0.0-5.0-1.2-1.2","","","1113","audio/duckrecording2.mp3","","2","pol_images/sheep.jpg,pol_images/calf.jpg,pol_images/duck.jpg,pol_images/horse.jpg","pol_images/duck.jpg","intro","polysemy","true","","",""
"audio-keyboard-response","16","28883","0.0-5.0-2.2","","","null","audio/answer-correct.mp3","null","","","","","","","","",""
"html-button-response","17","29361","0.0-5.0-0.3","","","376.00000000000364","","","0","","","","","","","",""
"audio-button-response","18","31464","0.0-5.0-1.3-0.3","","","null","audio/bananarecording1.mp3","","null","","","","","","","",""
