"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","key_press","button_pressed","choices","target","block","task","accuracy"
"pavlovia","0","4","0.0-0.0","","","","","","","","","","",""
"fullscreen","1","10436","0.0-1.0","","true","","","","","","","","",""
"audio-keyboard-response","2","13816","0.0-2.0","","","null","audio/instructions_practice.mp3","null","","","","","",""
"html-button-response","3","14350","0.0-3.0","","","430.1400000003923","","","0","","","","",""
"audio-keyboard-response","4","17729","0.0-4.0","","","null","audio/instructions_waitpicture.mp3","null","","","","","",""
"html-button-response","5","18393","0.0-5.0-0.0","","","561.9799999985844","","","0","","","","",""
"audio-button-response","6","20504","0.0-5.0-1.0-0.0","","","null","audio/bananarecording1.mp3","","null","","","","",""
"audio-button-response","7","21705","0.0-5.0-1.0-1.0","","","1097.3450000001321","audio/bananarecording2.mp3","","0","pol_images/banana.jpg,pol_images/lamb.jpg,pol_images/bib.jpg,pol_images/wheel.jpg","pol_images/banana.jpg","intro","polysemy","true"
"audio-keyboard-response","8","24813","0.0-5.0-2.0","","","null","audio/answer-correct.mp3","null","","","","","",""
"html-button-response","9","25264","0.0-5.0-0.1","","","346.63999999975204","","","0","","","","",""
"audio-button-response","10","27371","0.0-5.0-1.1-0.1","","","null","audio/mouthrecording1.mp3","","null","","","","",""
"audio-button-response","11","29411","0.0-5.0-1.1-1.1","","","1933.0449999997654","audio/mouthrecording2.mp3","","2","pol_images/ear.jpg,pol_images/nose.jpg,pol_images/mouth.jpg,pol_images/eye.jpg","pol_images/mouth.jpg","intro","polysemy","true"
"audio-keyboard-response","12","32514","0.0-5.0-2.1","","","null","audio/answer-correct.mp3","null","","","","","",""
"html-button-response","13","34968","0.0-5.0-0.2","","","2348.4000000007654","","","0","","","","",""
"audio-button-response","14","37072","0.0-5.0-1.2-0.2","","","null","audio/footrecording1.mp3","","null","","","","",""
"audio-button-response","15","38961","0.0-5.0-1.2-1.2","","","1782.615000000078","audio/footrecording2.mp3","","0","pol_images/foot.jpg,pol_images/neck.jpg,pol_images/hand.jpg,pol_images/shoulder.jpg","pol_images/foot.jpg","intro","polysemy","true"
"audio-keyboard-response","16","42064","0.0-5.0-2.2","","","null","audio/answer-correct.mp3","null","","","","","",""
"html-button-response","17","42609","0.0-5.0-0.3","","","442.5050000008923","","","0","","","","",""
"audio-button-response","18","44717","0.0-5.0-1.3-0.3","","","1382.7099999998609","audio/flowerrecording1.mp3","","0","","","","",""
"audio-button-response","19","46780","0.0-5.0-1.3-1.3","","","1956.0850000016217","audio/flowerrecording2.mp3","","1","pol_images/toy.jpg,pol_images/flower.jpg,pol_images/starfish.jpg,pol_images/pizza.jpg","pol_images/flower.jpg","intro","polysemy","true"
"audio-keyboard-response","20","49884","0.0-5.0-2.3","","","null","audio/answer-correct.mp3","null","","","","","",""
"html-button-response","21","50405","0.0-5.0-0.4","","","415.5899999987014","","","0","","","","",""
"audio-button-response","22","52513","0.0-5.0-1.4-0.4","","","null","audio/ballrecording1.mp3","","null","","","","",""
"audio-button-response","23","54070","0.0-5.0-1.4-1.4","","","1453.4750000002532","audio/ballrecording2.mp3","","0","pol_images/ball.jpg,pol_images/pumpkin.jpg,pol_images/rose.jpg,pol_images/parrot.jpg","pol_images/ball.jpg","intro","polysemy","true"
"audio-keyboard-response","24","57175","0.0-5.0-2.4","","","null","audio/answer-correct.mp3","null","","","","","",""
"html-button-response","25","57655","0.0-5.0-0.5","","","375.9300000001531","","","0","","","","",""
"audio-button-response","26","59760","0.0-5.0-1.5-0.5","","","921.4649999994435","audio/shoerecording1.mp3","","0","","","","",""
"audio-button-response","27","59971","0.0-5.0-1.5-1.5","","","104.64500000125554","audio/shoerecording2.mp3","","2","pol_images/stool.jpg,pol_images/teddybear.jpg,pol_images/shoe.jpg,pol_images/sandwich.jpg","pol_images/shoe.jpg","intro","polysemy","true"
"audio-keyboard-response","28","63077","0.0-5.0-2.5","","","null","audio/answer-correct.mp3","null","","","","","",""
"html-button-response","29","64253","0.0-5.0-0.6","","","1068.9949999996315","","","0","","","","",""
"audio-button-response","30","66359","0.0-5.0-1.6-0.6","","","null","audio/busrecording1.mp3","","null","","","","",""
"audio-button-response","31","67035","0.0-5.0-1.6-1.6","","","569.3450000017037","audio/busrecording2.mp3","","2","pol_images/kite.jpg,pol_images/elephant.jpg,pol_images/bus.jpg,pol_images/broom.jpg","pol_images/bus.jpg","intro","polysemy","true"
"audio-keyboard-response","32","70138","0.0-5.0-2.6","","","null","audio/answer-correct.mp3","null","","","","","",""
"html-button-response","33","70779","0.0-5.0-0.7","","","535.3999999988446","","","0","","","","",""
"audio-button-response","34","72883","0.0-5.0-1.7-0.7","","","1604.6100000003207","audio/duckrecording1.mp3","","0","","","","",""
"audio-button-response","35","73394","0.0-5.0-1.7-1.7","","","406.1199999996461","audio/duckrecording2.mp3","","1","pol_images/sheep.jpg,pol_images/duck.jpg,pol_images/horse.jpg,pol_images/calf.jpg","pol_images/duck.jpg","intro","polysemy","true"
