"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","key_press","button_pressed","choices","target","block","task","accuracy","video"
"pavlovia","0","4","0.0-0.0","","","","","","","","","","","",""
"fullscreen","1","28468","0.0-1.0","","true","","","","","","","","","",""
"audio-keyboard-response","2","31878","0.0-2.0","","","null","audio/instructions_practice.mp3","null","","","","","","",""
"html-button-response","3","32646","0.0-3.0","","","664.5150000113063","","","0","","","","","",""
"audio-keyboard-response","4","36018","0.0-4.0","","","null","audio/instructions_waitpicture.mp3","null","","","","","","",""
"html-button-response","5","36620","0.0-5.0-0.0","","","500.23000000510365","","","0","","","","","",""
"audio-button-response","6","38729","0.0-5.0-1.0-0.0","","","1572.470000013709","audio/duckrecording1.mp3","","0","","","","","",""
"audio-button-response","7","39946","0.0-5.0-1.0-1.0","","","1110.820000001695","audio/duckrecording2.mp3","","1","pol_images/sheep.jpg,pol_images/duck.jpg,pol_images/horse.jpg,pol_images/calf.jpg","pol_images/duck.jpg","intro","polysemy","true",""
"audio-keyboard-response","8","43051","0.0-5.0-2.0","","","null","audio/answer-correct.mp3","null","","","","","","",""
"html-button-response","9","44043","0.0-5.0-0.1","","","890.7099999778438","","","0","","","","","",""
"audio-button-response","10","46153","0.0-5.0-1.1-0.1","","","null","audio/bananarecording1.mp3","","null","","","","","",""
"audio-button-response","11","48369","0.0-5.0-1.1-1.1","","","2113.2700000016484","audio/bananarecording2.mp3","","3","pol_images/lamb.jpg,pol_images/wheel.jpg,pol_images/bib.jpg,pol_images/banana.jpg","pol_images/banana.jpg","intro","polysemy","true",""
"audio-keyboard-response","12","51472","0.0-5.0-2.1","","","null","audio/answer-correct.mp3","null","","","","","","",""
"html-button-response","13","52703","0.0-5.0-0.2","","","1125.6949999951757","","","0","","","","","",""
"audio-button-response","14","54811","0.0-5.0-1.2-0.2","","","678.4449999977369","audio/footrecording1.mp3","","3","","","","","",""
"audio-button-response","15","56006","0.0-5.0-1.2-1.2","","","1091.8649999948684","audio/footrecording2.mp3","","3","pol_images/hand.jpg,pol_images/neck.jpg,pol_images/shoulder.jpg,pol_images/foot.jpg","pol_images/foot.jpg","intro","polysemy","true",""
"audio-keyboard-response","16","59112","0.0-5.0-2.2","","","null","audio/answer-correct.mp3","null","","","","","","",""
"html-button-response","17","59831","0.0-5.0-0.3","","","613.7400000006892","","","0","","","","","",""
"audio-button-response","18","61948","0.0-5.0-1.3-0.3","","","676.8149999843445","audio/mouthrecording1.mp3","","0","","","","","",""
"audio-button-response","19","62436","0.0-5.0-1.3-1.3","","","385.21499998751096","audio/mouthrecording2.mp3","","2","pol_images/eye.jpg,pol_images/ear.jpg,pol_images/mouth.jpg,pol_images/nose.jpg","pol_images/mouth.jpg","intro","polysemy","true",""
"audio-keyboard-response","20","65543","0.0-5.0-2.3","","","null","audio/answer-correct.mp3","null","","","","","","",""
"html-button-response","21","66437","0.0-5.0-0.4","","","787.5699999858625","","","0","","","","","",""
"audio-button-response","22","68546","0.0-5.0-1.4-0.4","","","null","audio/ballrecording1.mp3","","null","","","","","",""
"audio-button-response","23","102711","0.0-5.0-1.4-1.4","","","34061.730000015814","audio/ballrecording2.mp3","","1","pol_images/parrot.jpg,pol_images/ball.jpg,pol_images/pumpkin.jpg,pol_images/rose.jpg","pol_images/ball.jpg","intro","polysemy","true",""
"audio-keyboard-response","24","105820","0.0-5.0-2.4","","","null","audio/answer-correct.mp3","null","","","","","","",""
"html-button-response","25","108334","0.0-5.0-0.5","","","2409.7799999872223","","","0","","","","","",""
"audio-button-response","26","110451","0.0-5.0-1.5-0.5","","","null","audio/busrecording1.mp3","","null","","","","","",""
"audio-button-response","27","112523","0.0-5.0-1.5-1.5","","","1969.825000007404","audio/busrecording2.mp3","","0","pol_images/bus.jpg,pol_images/kite.jpg,pol_images/elephant.jpg,pol_images/broom.jpg","pol_images/bus.jpg","intro","polysemy","true",""
"audio-keyboard-response","28","115626","0.0-5.0-2.5","","","null","audio/answer-correct.mp3","null","","","","","","",""
"html-button-response","29","117102","0.0-5.0-0.6","","","1372.2499999857973","","","0","","","","","",""
