"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","key_press","button_pressed","choices","target","block","task","accuracy","video","condition"
"pavlovia","0","4","0.0-0.0","","","","","","","","","","","","",""
"fullscreen","1","2614","0.0-1.0","","true","","","","","","","","","","",""
"audio-keyboard-response","2","5915","0.0-2.0","","","null","audio/instructions_practice.mp3","null","","","","","","","",""
"html-button-response","3","6932","0.0-3.0","","","910.8499999856576","","","0","","","","","","",""
"audio-keyboard-response","4","10304","0.0-4.0","","","null","audio/instructions_waitpicture.mp3","null","","","","","","","",""
"html-button-response","5","11357","0.0-5.0-0.0","","","948.6700000124983","","","0","","","","","","",""
"audio-button-response","6","13463","0.0-5.0-1.0-0.0","","","null","audio/ballrecording1.mp3","","null","","","","","","",""
"audio-button-response","7","14045","0.0-5.0-1.0-1.0","","","479.92000001249835","audio/ballrecording2.mp3","","3","pol_images/parrot.jpg,pol_images/rose.jpg,pol_images/pumpkin.jpg,pol_images/ball.jpg","pol_images/ball.jpg","intro","polysemy","true","",""
"audio-keyboard-response","8","17153","0.0-5.0-2.0","","","null","audio/answer-correct.mp3","null","","","","","","","",""
"html-button-response","9","18759","0.0-5.0-0.1","","","1504.3999999761581","","","0","","","","","","",""
"audio-button-response","10","20866","0.0-5.0-1.1-0.1","","","null","audio/mouthrecording1.mp3","","null","","","","","","",""
"audio-button-response","11","21899","0.0-5.0-1.1-1.1","","","932.0999999763444","audio/mouthrecording2.mp3","","2","pol_images/eye.jpg,pol_images/ear.jpg,pol_images/mouth.jpg,pol_images/nose.jpg","pol_images/mouth.jpg","intro","polysemy","true","",""
"audio-keyboard-response","12","25003","0.0-5.0-2.1","","","null","audio/answer-correct.mp3","null","","","","","","","",""
"html-button-response","13","26434","0.0-5.0-0.2","","","1326.3100000331178","","","0","","","","","","",""
"audio-button-response","14","28540","0.0-5.0-1.2-0.2","","","null","audio/duckrecording1.mp3","","null","","","","","","",""
"audio-button-response","15","29130","0.0-5.0-1.2-1.2","","","487.9850000143051","audio/duckrecording2.mp3","","0","pol_images/duck.jpg,pol_images/horse.jpg,pol_images/sheep.jpg,pol_images/calf.jpg","pol_images/duck.jpg","intro","polysemy","true","",""
"audio-keyboard-response","16","32235","0.0-5.0-2.2","","","null","audio/answer-correct.mp3","null","","","","","","","",""
"html-button-response","17","32824","0.0-5.0-0.3","","","486.9450000114739","","","0","","","","","","",""
"audio-button-response","18","34928","0.0-5.0-1.3-0.3","","","null","audio/bananarecording1.mp3","","null","","","","","","",""
"audio-button-response","19","35184","0.0-5.0-1.3-1.3","","","153.27999996952713","audio/bananarecording2.mp3","","3","pol_images/bib.jpg,pol_images/wheel.jpg,pol_images/lamb.jpg,pol_images/banana.jpg","pol_images/banana.jpg","intro","polysemy","true","",""
"audio-keyboard-response","20","38288","0.0-5.0-2.3","","","null","audio/answer-correct.mp3","null","","","","","","","",""
"html-button-response","21","38864","0.0-5.0-0.4","","","474.3499999749474","","","0","","","","","","",""
"audio-button-response","22","40970","0.0-5.0-1.4-0.4","","","null","audio/busrecording1.mp3","","null","","","","","","",""
"audio-button-response","23","41300","0.0-5.0-1.4-1.4","","","227.54499997245148","audio/busrecording2.mp3","","3","pol_images/broom.jpg,pol_images/kite.jpg,pol_images/elephant.jpg,pol_images/bus.jpg","pol_images/bus.jpg","intro","polysemy","true","",""
"audio-keyboard-response","24","44406","0.0-5.0-2.4","","","null","audio/answer-correct.mp3","null","","","","","","","",""
"html-button-response","25","45222","0.0-5.0-0.5","","","714.9099999805912","","","0","","","","","","",""
"audio-button-response","26","47326","0.0-5.0-1.5-0.5","","","null","audio/shoerecording1.mp3","","null","","","","","","",""
